fp,threshold,tp,tp_div_fp
0,0.6491863640453075,412,inf
0,0.6491882619090914,413,inf
0,0.6492071092426663,414,inf
0,0.6492142859943926,415,inf
0,0.6492178778508427,416,inf
0,0.6492230873258902,417,inf
0,0.6492385550886521,418,inf
0,0.6493011099430985,419,inf
0,0.6493582936032988,420,inf
0,0.649359150778976,421,inf
0,0.6493791868160431,422,inf
0,0.6493794036541406,423,inf
0,0.6494141432384942,424,inf
0,0.649428841799526,425,inf
0,0.649436385773594,426,inf
0,0.6494531458022413,427,inf
0,0.6494869988665927,428,inf
0,0.649525203937942,429,inf
0,0.649534005226168,430,inf
0,0.6495705356946133,431,inf
0,0.6495775910503364,432,inf
0,0.6495783573111054,433,inf
0,0.6495785855024149,434,inf
